Year,Meaning of Aggregate Description,Amount,
2015,Total Expenditure - Direct Expenditure - Capital Outlay," 2,884,867 ",
2016,Total Expenditure - Direct Expenditure - Capital Outlay," 2,662,867 ",
2017,Total Expenditure - Direct Expenditure - Capital Outlay," 2,975,222 ",
2018,Total Expenditure - Direct Expenditure - Capital Outlay," 2,598,470 ",
2019,Total Expenditure - Direct Expenditure - Capital Outlay," 2,340,505 ",
2012,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments," 7,896,071 ",
2013,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments," 7,344,587 ",
2014,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments," 7,314,339 ",
2015,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments," 6,753,385 ",
2016,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments," 6,987,148 ",
2017,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments," 7,132,650 ",
2018,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments," 7,480,799 ",
2019,Total Expenditure - Direct Expenditure - Insurance Benefits and Repayments," 7,681,598 ",
2012,Total Expenditure - Direct Expenditure - Assistance and Subsidies," 1,449,957 ",
2013,Total Expenditure - Direct Expenditure - Assistance and Subsidies," 1,535,902 ",
2014,Total Expenditure - Direct Expenditure - Assistance and Subsidies," 1,563,347 ",
2015,Total Expenditure - Direct Expenditure - Assistance and Subsidies," 1,577,951 ",
2016,Total Expenditure - Direct Expenditure - Assistance and Subsidies," 1,604,854 ",
2017,Total Expenditure - Direct Expenditure - Assistance and Subsidies," 1,313,444 ",
2018,Total Expenditure - Direct Expenditure - Assistance and Subsidies," 1,611,323 ",
2019,Total Expenditure - Direct Expenditure - Assistance and Subsidies," 1,625,523 ",
2012,Total Expenditure - Direct Expenditure - Interest on Debt," 1,353,204 ",
2013,Total Expenditure - Direct Expenditure - Interest on Debt," 1,289,645 ",
2014,Total Expenditure - Direct Expenditure - Interest on Debt," 1,363,630 ",
2015,Total Expenditure - Direct Expenditure - Interest on Debt," 1,414,999 ",
2016,Total Expenditure - Direct Expenditure - Interest on Debt," 1,439,737 ",
2017,Total Expenditure - Direct Expenditure - Interest on Debt," 1,505,051 ",
2018,Total Expenditure - Direct Expenditure - Interest on Debt," 1,521,343 ",
2019,Total Expenditure - Direct Expenditure - Interest on Debt," 1,555,678 ",
2012,Total Expenditure - Exhibit: Salaries and Wages," 6,546,416 ",
2013,Total Expenditure - Exhibit: Salaries and Wages," 6,746,660 ",
2014,Total Expenditure - Exhibit: Salaries and Wages," 7,106,821 ",
2015,Total Expenditure - Exhibit: Salaries and Wages," 7,320,734 ",
2016,Total Expenditure - Exhibit: Salaries and Wages," 7,832,229 ",
2017,Total Expenditure - Exhibit: Salaries and Wages," 8,194,704 ",
2018,Total Expenditure - Exhibit: Salaries and Wages," 9,142,075 ",
2019,Total Expenditure - Exhibit: Salaries and Wages," 9,140,892 ",
2012,Total Expenditure - General Expenditure," 37,297,199 ",
2013,Total Expenditure - General Expenditure," 37,605,118 ",
2014,Total Expenditure - General Expenditure," 40,657,614 ",
2015,Total Expenditure - General Expenditure," 43,875,706 ",
2016,Total Expenditure - General Expenditure," 45,508,047 ",
2017,Total Expenditure - General Expenditure," 48,814,240 ",
2018,Total Expenditure - General Expenditure," 50,744,226 ",
2019,Total Expenditure - General Expenditure," 53,312,108 ",
2012,Total Expenditure - General Expenditure - Intergovernmental General Expenditure," 10,314,091 ",
2013,Total Expenditure - General Expenditure - Intergovernmental General Expenditure," 10,283,471 ",
2014,Total Expenditure - General Expenditure - Intergovernmental General Expenditure," 11,172,420 ",
2015,Total Expenditure - General Expenditure - Intergovernmental General Expenditure," 11,783,929 ",
2016,Total Expenditure - General Expenditure - Intergovernmental General Expenditure," 12,448,294 ",
2017,Total Expenditure - General Expenditure - Intergovernmental General Expenditure," 13,639,615 ",
2018,Total Expenditure - General Expenditure - Intergovernmental General Expenditure," 14,549,578 ",
2019,Total Expenditure - General Expenditure - Intergovernmental General Expenditure," 16,832,903 ",
2012,Total Expenditure - General Expenditure - Direct General Expenditure," 26,983,108 ",
2013,Total Expenditure - General Expenditure - Direct General Expenditure," 27,321,647 ",
2014,Total Expenditure - General Expenditure - Direct General Expenditure," 29,485,194 ",
2015,Total Expenditure - General Expenditure - Direct General Expenditure," 32,091,777 ",
2016,Total Expenditure - General Expenditure - Direct General Expenditure," 33,059,753 ",
2017,Total Expenditure - General Expenditure - Direct General Expenditure," 35,174,625 ",
2018,Total Expenditure - General Expenditure - Direct General Expenditure," 36,194,648 ",
2019,Total Expenditure - General Expenditure - Direct General Expenditure," 36,479,205 ",
2012,"General Expenditure, by Function: - Education"," 15,179,418 ",
2013,"General Expenditure, by Function: - Education"," 15,618,452 ",
2014,"General Expenditure, by Function: - Education"," 16,349,997 ",
2015,"General Expenditure, by Function: - Education"," 17,101,172 ",
2016,"General Expenditure, by Function: - Education"," 18,354,126 ",
2017,"General Expenditure, by Function: - Education"," 19,557,200 ",
2018,"General Expenditure, by Function: - Education"," 20,831,462 ",
2019,"General Expenditure, by Function: - Education"," 22,661,025 ",
2012,"General Expenditure, by Function: - Public Welfare"," 8,178,814 ",
2013,"General Expenditure, by Function: - Public Welfare"," 8,224,503 ",
2014,"General Expenditure, by Function: - Public Welfare"," 9,669,566 ",
2015,"General Expenditure, by Function: - Public Welfare"," 11,329,491 ",
2016,"General Expenditure, by Function: - Public Welfare"," 11,552,005 ",
2017,"General Expenditure, by Function: - Public Welfare"," 12,197,753 ",
2018,"General Expenditure, by Function: - Public Welfare"," 12,790,963 ",
2019,"General Expenditure, by Function: - Public Welfare"," 12,488,850 ",
2012,"General Expenditure, by Function: - Hospitals"," 2,156,540 ",
2013,"General Expenditure, by Function: - Hospitals"," 2,174,853 ",
2014,"General Expenditure, by Function: - Hospitals"," 2,277,752 ",
2015,"General Expenditure, by Function: - Hospitals"," 2,586,923 ",
2016,"General Expenditure, by Function: - Hospitals"," 2,799,289 ",
2017,"General Expenditure, by Function: - Hospitals"," 3,413,292 ",
2018,"General Expenditure, by Function: - Hospitals"," 3,652,849 ",
2019,"General Expenditure, by Function: - Hospitals"," 3,627,640 ",
2012,"General Expenditure, by Function: - Health"," 1,683,204 ",
2013,"General Expenditure, by Function: - Health"," 1,767,621 ",
2014,"General Expenditure, by Function: - Health"," 2,041,208 ",
2015,"General Expenditure, by Function: - Health"," 2,239,003 ",
2016,"General Expenditure, by Function: - Health"," 2,315,807 ",
2017,"General Expenditure, by Function: - Health"," 3,086,366 ",
2018,"General Expenditure, by Function: - Health"," 2,938,904 ",
2019,"General Expenditure, by Function: - Health"," 3,349,419 ",
2012,"General Expenditure, by Function: - Highways"," 3,259,538 ",
2013,"General Expenditure, by Function: - Highways"," 3,228,985 ",
2014,"General Expenditure, by Function: - Highways"," 3,107,228 ",
2015,"General Expenditure, by Function: - Highways"," 2,930,924 ",
2016,"General Expenditure, by Function: - Highways"," 2,790,205 ",
2017,"General Expenditure, by Function: - Highways"," 2,918,772 ",
2018,"General Expenditure, by Function: - Highways"," 2,918,458 ",
2019,"General Expenditure, by Function: - Highways"," 3,150,750 ",
2012,"General Expenditure, by Function: - Police Protection"," 340,024 ",
2013,"General Expenditure, by Function: - Police Protection"," 374,122 ",
2014,"General Expenditure, by Function: - Police Protection"," 374,652 ",
2015,"General Expenditure, by Function: - Police Protection"," 405,692 ",
2016,"General Expenditure, by Function: - Police Protection"," 419,197 ",
2017,"General Expenditure, by Function: - Police Protection"," 438,529 ",
2018,"General Expenditure, by Function: - Police Protection"," 470,737 ",
2019,"General Expenditure, by Function: - Police Protection"," 482,501 ",
2012,"General Expenditure, by Function: - Correction"," 931,479 ",
2013,"General Expenditure, by Function: - Correction"," 928,865 ",
2014,"General Expenditure, by Function: - Correction"," 938,327 ",
2015,"General Expenditure, by Function: - Correction"," 984,771 ",
2016,"General Expenditure, by Function: - Correction"," 1,040,326 ",
2017,"General Expenditure, by Function: - Correction"," 998,853 ",
2018,"General Expenditure, by Function: - Correction"," 1,039,580 ",
2019,"General Expenditure, by Function: - Correction"," 1,033,601 ",
2012,"General Expenditure, by Function: - Natural Resources"," 686,270 ",
2013,"General Expenditure, by Function: - Natural Resources"," 777,689 ",
2014,"General Expenditure, by Function: - Natural Resources"," 887,354 ",
2015,"General Expenditure, by Function: - Natural Resources"," 918,107 ",
2016,"General Expenditure, by Function: - Natural Resources"," 888,992 ",
2017,"General Expenditure, by Function: - Natural Resources"," 862,883 ",
2018,"General Expenditure, by Function: - Natural Resources"," 856,296 ",
2019,"General Expenditure, by Function: - Natural Resources"," 959,608 ",
2012,"General Expenditure, by Function: - Parks and Recreation"," 205,198 ",
2013,"General Expenditure, by Function: - Parks and Recreation"," 217,633 ",
2014,"General Expenditure, by Function: - Parks and Recreation"," 192,755 ",
2015,"General Expenditure, by Function: - Parks and Recreation"," 257,577 ",
2016,"General Expenditure, by Function: - Parks and Recreation"," 241,463 ",
2017,"General Expenditure, by Function: - Parks and Recreation"," 322,592 ",
2018,"General Expenditure, by Function: - Parks and Recreation"," 243,432 ",
2019,"General Expenditure, by Function: - Parks and Recreation"," 264,578 ",
2012,"General Expenditure, by Function: - Governmental Administration"," 1,129,711 ",
2013,"General Expenditure, by Function: - Governmental Administration"," 854,317 ",
2014,"General Expenditure, by Function: - Governmental Administration"," 1,140,815 ",
2015,"General Expenditure, by Function: - Governmental Administration"," 1,263,265 ",
2016,"General Expenditure, by Function: - Governmental Administration"," 1,224,372 ",
2017,"General Expenditure, by Function: - Governmental Administration"," 1,266,044 ",
2018,"General Expenditure, by Function: - Governmental Administration"," 1,234,352 ",
2019,"General Expenditure, by Function: - Governmental Administration"," 1,333,864 ",
2012,"General Expenditure, by Function: - Interest on General Debt"," 1,353,204 ",
2013,"General Expenditure, by Function: - Interest on General Debt"," 1,289,645 ",
2014,"General Expenditure, by Function: - Interest on General Debt"," 1,363,630 ",
2015,"General Expenditure, by Function: - Interest on General Debt"," 1,414,999 ",
2016,"General Expenditure, by Function: - Interest on General Debt"," 1,439,737 ",
2017,"General Expenditure, by Function: - Interest on General Debt"," 1,505,051 ",
2018,"General Expenditure, by Function: - Interest on General Debt"," 1,521,343 ",
2019,"General Expenditure, by Function: - Interest on General Debt"," 1,555,678 ",
2012,"General Expenditure, by Function: - Other and Unallocable"," 1,641,488 ",
2013,"General Expenditure, by Function: - Other and Unallocable"," 1,533,143 ",
2014,"General Expenditure, by Function: - Other and Unallocable"," 1,664,703 ",
2015,"General Expenditure, by Function: - Other and Unallocable"," 1,721,239 ",
2016,"General Expenditure, by Function: - Other and Unallocable"," 1,682,487 ",
2017,"General Expenditure, by Function: - Other and Unallocable"," 1,707,618 ",
2018,"General Expenditure, by Function: - Other and Unallocable"," 1,771,744 ",
2019,"General Expenditure, by Function: - Other and Unallocable"," 1,858,147 ",
2012,Utility Expenditure," 82,830 ",
2013,Utility Expenditure," 123,965 ",
2014,Utility Expenditure," 189,449 ",
2015,Utility Expenditure," 235,979 ",
2016,Utility Expenditure," 299,250 ",
2017,Utility Expenditure," 342,315 ",
2018,Utility Expenditure," 143,898 ",
2019,Utility Expenditure," 156,175 ",
2012,Liquor Stores Expenditure," 462,579 ",
2013,Liquor Stores Expenditure, -   ,
2014,Liquor Stores Expenditure, -   ,
2015,Liquor Stores Expenditure, -   ,
2016,Liquor Stores Expenditure, -   ,
2017,Liquor Stores Expenditure, -   ,
2018,Liquor Stores Expenditure, -   ,
2019,Liquor Stores Expenditure, -   ,
2012,Insurance Trust Expenditure," 7,896,071 ",
2013,Insurance Trust Expenditure," 7,344,587 ",
2014,Insurance Trust Expenditure," 7,314,339 ",
2015,Insurance Trust Expenditure," 6,753,385 ",
2016,Insurance Trust Expenditure," 6,987,148 ",
2017,Insurance Trust Expenditure," 7,132,650 ",
2018,Insurance Trust Expenditure," 7,480,799 ",
2019,Insurance Trust Expenditure," 7,681,598 ",
2012,"Total Debt Outstanding, Long term and Short Term"," 29,090,132 ",
2013,"Total Debt Outstanding, Long term and Short Term"," 30,474,333 ",
2014,"Total Debt Outstanding, Long term and Short Term"," 31,601,016 ",
2015,"Total Debt Outstanding, Long term and Short Term"," 32,231,967 ",
2016,"Total Debt Outstanding, Long term and Short Term"," 33,051,285 ",
2017,"Total Debt Outstanding, Long term and Short Term"," 33,427,752 ",
2018,"Total Debt Outstanding, Long term and Short Term"," 33,926,356 ",
2019,"Total Debt Outstanding, Long term and Short Term"," 35,584,686 ",
2012,Total Cash and Security Holdings," 71,805,623 ",
2013,Total Cash and Security Holdings," 81,664,513 ",
2014,Total Cash and Security Holdings," 85,806,815 ",
2015,Total Cash and Security Holdings," 60,798,213 ",
2016,Total Cash and Security Holdings," 63,461,745 ",
2017,Total Cash and Security Holdings," 134,341,564 ",
2018,Total Cash and Security Holdings," 145,008,964 ",
2019,Total Cash and Security Holdings," 154,460,274 ",
2012,"Lottery Income ($1,000)"," 501,813 ",
2013,"Lottery Income ($1,000)"," 534,041 ",
2014,"Lottery Income ($1,000)"," 631,892 ",
2015,"Lottery Income ($1,000)"," 658,854 ",
2016,"Lottery Income ($1,000)"," 658,854 ",
2017,"Lottery Income ($1,000)"," 673,330 ",
2018,"Lottery Income ($1,000)"," 733,938 ",
2019,"Lottery Income ($1,000)"," 803,278 ",
2012,"Lottery Prizes ($1,000)"," 311,545 ",
2013,"Lottery Prizes ($1,000)"," 339,366 ",
2014,"Lottery Prizes ($1,000)"," 371,533 ",
2015,"Lottery Prizes ($1,000)"," 432,901 ",
2016,"Lottery Prizes ($1,000)"," 432,901 ",
2017,"Lottery Prizes ($1,000)"," 422,536 ",
2018,"Lottery Prizes ($1,000)"," 457,904 ",
2019,"Lottery Prizes ($1,000)"," 490,355 ",
2012,"Lottery Administration ($1,000)"," 45,034 ",
2013,"Lottery Administration ($1,000)"," 49,954 ",
2014,"Lottery Administration ($1,000)"," 40,723 ",
2015,"Lottery Administration ($1,000)"," 45,142 ",
2016,"Lottery Administration ($1,000)"," 45,142 ",
2017,"Lottery Administration ($1,000)"," 29,213 ",
2018,"Lottery Administration ($1,000)"," 27,073 ",
2019,"Lottery Administration ($1,000)"," 28,719 ",
2012,"Lottery Proceeds Available ($1,000)"," 145,234 ",
2013,"Lottery Proceeds Available ($1,000)"," 144,721 ",
2014,"Lottery Proceeds Available ($1,000)"," 219,636 ",
2015,"Lottery Proceeds Available ($1,000)"," 180,811 ",
2016,"Lottery Proceeds Available ($1,000)"," 180,811 ",
2017,"Lottery Proceeds Available ($1,000)"," 221,581 ",
2018,"Lottery Proceeds Available ($1,000)"," 248,961 ",
2019,"Lottery Proceeds Available ($1,000)"," 284,204 ",
