Year,Meaning of Aggregate Description,Amount Formatted
2020,Sales and Gross Receipts Taxes,"21,763,083"
2016,Selective Sales and Gross Receipts Taxes,"4,075,649"
2017,Selective Sales and Gross Receipts Taxes,"4,663,740"
2018,Selective Sales and Gross Receipts Taxes,"4,684,503"
2019,Selective Sales and Gross Receipts Taxes,"4,726,647"
2020,Selective Sales and Gross Receipts Taxes,"4,833,532"
2016,License Taxes,"1,461,200"
2017,License Taxes,"1,448,383"
2018,License Taxes,"2,070,931"
2019,License Taxes,"1,746,818"
2020,License Taxes,"1,615,374"
2016,Income Taxes,0
2017,Income Taxes,0
2018,Income Taxes,0
2019,Income Taxes,0
2020,Income Taxes,0
2016,Other Taxes,"1,120,792"
2017,Other Taxes,"1,275,676"
2018,Other Taxes,"1,411,353"
2019,Other Taxes,"1,513,307"
2020,Other Taxes,"1,899,831"
